,LISTING_URL,MAKE,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,ENGINE_CAP_CC,MILEAGE_KM,VEHICLE_TYPE
187,https://www.sgcarmart.com/used_cars/info.php?ID=917488&DL=3465,Lexus,69000,14200.0,20-Dec-2013,2494,81000.0,Luxury Sedan
188,https://www.sgcarmart.com/used_cars/info.php?ID=909765&DL=3456,Toyota,31888,6830.0,14-May-2010,1598,140000.0,Mid-Sized Sedan
189,https://www.sgcarmart.com/used_cars/info.php?ID=925165&DL=2952,Volkswagen,35500,7100.0,08-Mar-2011,1595,116000.0,Hatchback
190,https://www.sgcarmart.com/used_cars/info.php?ID=915038&DL=1194,Toyota,28800,5760.0,11-Aug-2010,1497,,Mid-Sized Sedan
191,https://www.sgcarmart.com/used_cars/info.php?ID=918419&DL=2296,Mitsubishi,95800,10030.0,08-Apr-2019,1998,13000.0,SUV
192,https://www.sgcarmart.com/used_cars/info.php?ID=918366&DL=2978,Citroen,74800,8580.0,01-Nov-2017,1560,49000.0,Stationwagon
193,https://www.sgcarmart.com/used_cars/info.php?ID=926685&DL=1213,Volvo,71800,9560.0,28-Feb-2017,1498,58134.0,Hatchback
194,https://www.sgcarmart.com/used_cars/info.php?ID=922133&DL=2795,Honda,75800,9810.0,01-Jun-2008,1998,,Sports Car
195,https://www.sgcarmart.com/used_cars/info.php?ID=926247&DL=2014,Toyota,90800,8730.0,12-Nov-2019,1496,,MPV
196,https://www.sgcarmart.com/used_cars/info.php?ID=926641&DL=3706,Hyundai,44800,7700.0,28-Jul-2015,1591,66000.0,Mid-Sized Sedan
197,https://www.sgcarmart.com/used_cars/info.php?ID=926734&DL=3093,Volkswagen,57800,7960.0,14-Jun-2017,1197,90000.0,Hatchback
198,https://www.sgcarmart.com/used_cars/info.php?ID=881908&DL=3511,Honda,100800,9800.0,20-Jan-2020,1496,,SUV
199,https://www.sgcarmart.com/used_cars/info.php?ID=918754&DL=1104,Hyundai,70800,7330.0,25-Jun-2019,1591,5700.0,Mid-Sized Sedan
